Date;Open;High;Low;Close;Adj Close;Volume
01/01/2000;2,8;2,85333;2,50667;2,63333;1,472417;7614900
01/02/2000;2,64;2,76667;2,43333;2,48333;1,388544;11047500
01/03/2000;2,5;2,6;2,06667;2,09667;1,172345;14376600
01/04/2000;2,09667;2,09667;1,77;2;1,118292;11364300
01/05/2000;2;2,13;1,8;1,86667;1,043741;7227000
01/06/2000;1,88333;2,29333;1,87333;2,15;1,202164;9800100
01/07/2000;2,15;2,31333;2,03333;2,08333;1,164886;5883300
01/08/2000;2,05667;2,18;2,00333;2,05333;1,148112;11156400
01/09/2000;2,06667;2,31667;2,03667;2,08333;1,164886;7814700
01/10/2000;2,08667;2,16333;1,80333;1,94667;1,088473;6491700
01/11/2000;1,95;2,16333;1,83333;1,89667;1,060516;4198500
01/12/2000;1,98667;2,15333;1,87333;1,99;1,112701;4519800
01/01/2001;1,99;2,86667;1,95333;2,64;1,476146;23994000
01/02/2001;2,6;2,73;2,33333;2,41;1,347542;7650900
01/03/2001;2,41;2,74667;2,27333;2,42333;1,354996;8856000
01/04/2001;2,31333;3,23333;2,25;2,88333;1,612203;14922900
01/05/2001;2,88333;3,08333;2,56667;2,61667;1,463101;7826400
01/06/2001;2,63333;3,48333;2,57333;3,2;1,789268;25611300
01/07/2001;3,16667;3,33333;2,86667;2,94333;1,645751;6429600
01/08/2001;2,9;3,33;2,89;2,98667;1,669984;16425000
01/09/2001;3,02;3,2;2,30333;2,46;1,375499;11475900
01/10/2001;2,35333;2,66333;2,18333;2,56667;1,435144;9991800
01/11/2001;2,58;3,28667;2,50333;3,03667;1,697943;10834200
01/12/2001;3,03667;3,64333;3,03667;3,53;1,973786;10758600
01/01/2002;3,53;3,66667;2,93667;3;1,677439;10180800
01/02/2002;3,00667;3,73333;2,96667;3,58;2,001744;10067400
01/03/2002;3,48333;4,16667;3,43667;3,86667;2,162034;14013000
01/04/2002;3,9;5,1;3,9;4,49667;2,514296;17736300
01/05/2002;4,49667;4,63333;3,86667;4,36667;2,441607;11280600
01/06/2002;4,34;4,36667;2,86;2,99667;1,675576;10782000
01/07/2002;2,97667;3,79333;2,8;2,87333;1,606612;15441300
01/08/2002;3,08667;3,78333;2,71667;3,63;2,029701;16066800
01/09/2002;3,61667;3,73333;2,55333;2,67;1,49292;48871800
01/10/2002;2,77333;3,33333;2,67;3,25;1,817225;69923700
01/11/2002;3,27667;3,52667;3,18333;3,37667;1,888052;72476100
01/12/2002;3,38;3,43;3,08667;3,26667;1,826546;68544900
01/01/2003;3,26667;3,61667;3,05;3,20667;1,792997;60673500
01/02/2003;3,21333;3,31333;3,01;3,2;1,789268;38629800
01/03/2003;3,2;3,65667;3,10667;3,51;1,962604;52295400
01/04/2003;3,53333;4,54667;3,50667;4,23333;2,36705;74753100
01/05/2003;4,23333;5,15;4,18667;5,1;2,851645;66656700
01/06/2003;5,1;5,63333;4,2;4,36333;2,439739;67646700
01/07/2003;4,33;4,86333;4,3;4,73333;2,646624;33363900
01/08/2003;4,66667;5,33;4,55;5,13333;2,870282;56571300
01/09/2003;5,08333;5,91667;5,08333;5,33333;2,98211;62924400
01/10/2003;5,33667;6,63333;5,33333;6,26667;3,503986;52198200
