Date;Open;High;Low;Close;Adj Close;Volume
05/04/2007;5,18395;5,35117;5,08696;5,28428;3,961166;25979213
09/04/2007;5,18395;5,27425;5,08361;5,16722;3,873417;5308147
10/04/2007;5,16722;5,16722;4,95652;5,03344;3,773134;5825417
11/04/2007;4,9398;5,01672;4,76254;4,78261;3,585108;6010498
12/04/2007;4,74582;5,03344;4,73244;4,94983;3,710459;3420261
13/04/2007;5,08361;5,17057;5,01672;5,05017;3,785676;2631798
16/04/2007;5,06689;5,18395;4,95652;4,96656;3,723;1687257
17/04/2007;5,01672;5,04348;4,93645;5,01672;3,7606;879060
18/04/2007;4,98328;5,13378;4,96656;5,0301;3,770631;1265368
19/04/2007;4,96656;5,05351;4,93311;5,05351;3,788179;1468688
20/04/2007;5,01672;5,10368;5;5,01672;3,7606;2086123
23/04/2007;5,01672;5,04348;5,01338;5,0301;3,770631;1181648
24/04/2007;5,01672;5,08027;5;5,01672;3,7606;1723436
25/04/2007;5,03344;5,18395;5,03344;5,16722;3,873417;1479153
26/04/2007;5,17726;5,2709;4,93311;5,0301;3,770631;2016456
27/04/2007;5,01672;5,03344;4,93645;4,94983;3,710459;1945892
30/04/2007;5,01672;5,02676;4,93311;4,98328;3,735533;538200
02/05/2007;5,01672;5,01672;4,95652;5,01338;3,758097;417703
03/05/2007;5,01672;5,01672;4,94983;4,94983;3,710459;418301
04/05/2007;5;5,08696;4,97324;5,04682;3,783164;2234128
07/05/2007;5,20067;5,45151;5,20067;5,34783;4,008804;1494103
08/05/2007;5,28428;5,45151;5,11706;5,41806;4,06145;856336
09/05/2007;5,28428;5,45151;5,11706;5,41137;4,056435;859027
10/05/2007;5,31773;5,31773;5,17057;5,21739;3,911026;626704
11/05/2007;5,21739;5,34783;5,21405;5,21405;3,908521;2373761
14/05/2007;5,31438;5,31438;5,1505;5,22742;3,918544;413517
15/05/2007;5,31773;5,35117;5,20067;5,33445;3,998775;897897
16/05/2007;5,53512;5,56856;5,31438;5,53512;4,149199;1872039
17/05/2007;5,45151;5,78595;5,3913;5,6689;4,249484;1547325
18/05/2007;5,6689;5,86957;5,6689;5,85284;4,387367;1347294
21/05/2007;5,85284;6,35452;5,85284;6,24415;4,680698;1595165
22/05/2007;6,32107;6,58863;6,25418;6,25418;4,688217;3457935
23/05/2007;6,28763;6,55518;6,28763;6,50167;4,873738;1303640
24/05/2007;6,58528;6,65552;6,48829;6,52174;4,888783;2308878
25/05/2007;6,52174;6,85619;6,52174;6,77258;5,076817;1347892
28/05/2007;6,77258;7,22408;6,77258;7,0903;5,314983;492154
29/05/2007;7,19398;7,42475;7,02341;7,02341;5,264842;3361956
30/05/2007;6,72241;7,19064;6,57191;6,70234;5,024164;2734953
31/05/2007;6,85284;7,18395;6,73913;7,02341;5,264842;992381
01/06/2007;7,15719;7,67559;7,15719;7,67559;5,753725;804011
04/06/2007;7,58528;8,35786;7,58528;7,95987;5,966825;1327261
05/06/2007;8,0602;8,29431;7,74247;7,92642;5,94175;1297660
06/06/2007;7,92642;7,95652;7,62542;7,65886;5,741184;651521
08/06/2007;7,6087;7,84281;7,35452;7,69565;5,768763;1012414
11/06/2007;7,76589;7,89298;7,3913;7,45819;5,590759;1521312
12/06/2007;7,76589;7,89298;7,3913;7,45819;5,590759;1521312
13/06/2007;7,35786;7,3913;7,28428;7,28428;5,460393;858429
14/06/2007;7,35786;7,77926;7,27425;7,77926;5,831437;3912714
15/06/2007;7,83278;8,46154;7,83278;8,16054;6,117249;1222312
18/06/2007;8,30435;8,52843;7,79264;8,02676;6,016967;557635
19/06/2007;8,01003;8,01003;7,8796;7,97659;5,979359;702351
20/06/2007;8,24749;8,24749;7,59532;7,68227;5,758732;967265
21/06/2007;7,77592;8,19064;7,69231;8,12709;6,092175;707434
22/06/2007;8,05351;8,32776;8,05351;8,20067;6,147331;1379287
25/06/2007;8,08027;8,22742;7,99331;8,0602;6,042034;720889
26/06/2007;8,19398;8,22408;8,04348;8,22408;6,164881;220662
27/06/2007;8,07692;8,11037;7,94314;8,02676;6,016967;1078194
28/06/2007;8,19398;8,49498;8,02341;8,3612;6,267668;947531
29/06/2007;8,39465;8,76254;8,29431;8,67224;6,500827;1873833
02/07/2007;8,69565;8,79599;8,65217;8,76254;6,568518;549263
03/07/2007;8,76589;8,89632;8,699;8,699;6,520886;656903
04/07/2007;8,76254;8,86288;8,43478;8,52843;6,393025;732251
05/07/2007;8,69231;8,69231;8,20401;8,35786;6,265163;213187
06/07/2007;8,37793;8,56187;8,02341;8,12709;6,092175;711620
10/07/2007;8,2107;8,2107;7,69231;7,82609;5,866541;1535365
11/07/2007;7,95318;7,95318;7,37458;7,46154;5,59327;1812837
12/07/2007;7,59197;7,83946;7,58863;7,7592;5,8164;2368678
13/07/2007;8,01003;8,02676;7,82609;7,92308;5,939246;1605630
16/07/2007;7,94314;8,03679;7,85953;8,03679;6,024485;962481
17/07/2007;8,29431;8,32441;7,89632;7,99331;5,991891;4184804
18/07/2007;7,99331;8;7,77926;7,95987;5,966825;2659605
19/07/2007;7,84281;8,22408;7,84281;8,02676;6,016967;1477658
20/07/2007;8,09365;8,22074;8,0301;8,12375;6,089672;534612
23/07/2007;8,14381;8,14381;8,02676;8,0602;6,042034;1012115
24/07/2007;8,11037;8,19398;7,76589;7,9097;5,929217;848562
25/07/2007;7,92642;8,11037;7,41137;8,02341;6,014454;1339819
26/07/2007;7,85953;7,85953;7,40803;7,85953;5,891609;1465100
27/07/2007;7,85953;8,02341;7,49164;7,50836;5,628367;2487381
30/07/2007;7,74916;7,85953;7,39465;7,56522;5,67099;899990
31/07/2007;7,73579;7,77258;7,43478;7,69231;5,766258;1206465
01/08/2007;7,52508;7,68896;7,29431;7,4214;5,563181;1330849
02/08/2007;7,51171;7,6087;7,35786;7,6087;5,703582;1297660
03/08/2007;7,52508;7,52508;7,05686;7,35786;5,51555;1641211
06/08/2007;7,48829;7,48829;7,02676;7,3913;5,540618;1333839
07/08/2007;7,3913;8,02676;7,13378;8,02341;6,014454;2529540
08/08/2007;7,99331;8,3612;7,98662;8,22408;6,164881;1945294
09/08/2007;8,02007;8,1806;7,71237;8,02341;6,014454;674843
10/08/2007;7,69231;7,98997;7,41806;7,98997;5,989388;1298557
13/08/2007;8,01003;8,12375;7,85953;7,85953;5,891609;1002248
