Date;Open;High;Low;Close;Adj Close;Volume
03/01/2000;3,93473;4,01343;3,93473;4,01343;2,309651;115
04/01/2000;3,85604;3,93473;3,85604;3,85604;2,219076;37
05/01/2000;3,77734;3,85604;3,69865;3,77734;2,173786;228
06/01/2000;3,77734;3,85604;3,77734;3,85604;2,219076;345
07/01/2000;3,85604;3,93473;3,77734;3,77734;2,173786;273
10/01/2000;3,85604;3,93473;3,77734;3,77734;2,173786;141
11/01/2000;3,85604;3,85604;3,69865;3,77734;2,173786;313
12/01/2000;3,69865;3,69865;3,54126;3,61995;2,083211;155
13/01/2000;3,77734;3,77734;3,77734;3,77734;2,173786;252
14/01/2000;3,85604;3,93473;3,77734;3,77734;2,173786;981
17/01/2000;3,93473;3,93473;3,77734;3,77734;2,173786;115
18/01/2000;3,77734;3,77734;3,69865;3,69865;2,128501;145
19/01/2000;3,77734;3,77734;3,69865;3,77734;2,173786;89
20/01/2000;3,77734;3,77734;3,69865;3,69865;2,128501;44
21/01/2000;3,77734;3,77734;3,61995;3,77734;2,173786;116
24/01/2000;3,77734;3,77734;3,69865;3,77734;2,173786;53
25/01/2000;3,77734;3,77734;3,77734;3,77734;2,173786;0
26/01/2000;3,77734;3,77734;3,61995;3,69865;2,128501;85
27/01/2000;3,77734;3,77734;3,61995;3,69865;2,128501;153
28/01/2000;3,61995;3,69865;3,61995;3,61995;2,083211;96
31/01/2000;3,61995;3,61995;3,38387;3,46256;1,992636;224
01/02/2000;3,46256;3,46256;3,46256;3,46256;1,992636;161
02/02/2000;3,46256;3,46256;3,38387;3,38387;1,947352;44
03/02/2000;3,38387;3,46256;3,38387;3,38387;1,947352;154
04/02/2000;3,38387;3,46256;3,38387;3,46256;1,992636;58
07/02/2000;3,61995;3,61995;3,38387;3,46256;1,992636;142
08/02/2000;3,54126;3,77734;3,54126;3,61995;2,083211;355
09/02/2000;3,61995;3,61995;3,61995;3,61995;2,083211;195
10/02/2000;3,61995;3,69865;3,61995;3,69865;2,128501;222
11/02/2000;3,61995;3,69865;3,61995;3,61995;2,083211;339
14/02/2000;3,61995;3,69865;3,46256;3,54126;2,037926;196
15/02/2000;3,46256;3,46256;3,38387;3,46256;1,992636;43
16/02/2000;3,54126;3,61995;3,38387;3,46256;1,992636;202
17/02/2000;3,54126;3,54126;3,54126;3,54126;2,037926;32
18/02/2000;3,54126;3,54126;3,46256;3,46256;1,992636;67
21/02/2000;3,54126;3,54126;3,46256;3,46256;1,992636;77
22/02/2000;3,46256;3,54126;3,38387;3,46256;1,992636;138
23/02/2000;3,46256;3,46256;3,46256;3,46256;1,992636;85
24/02/2000;3,46256;3,46256;3,38387;3,38387;1,947352;114
