Date;Open;High;Low;Close;Adj Close;Volume
02/05/2000;2,46667;2,55556;2,42222;2,55556;1,260825;348659987
03/05/2000;2,55556;2,55556;2,46667;2,46667;1,216969;248039991
04/05/2000;2,48889;2,51111;2,48889;2,48889;1,227932;478529982
05/05/2000;2,48889;2,55556;2,48889;2,53333;1,249857;537029980
08/05/2000;2,53333;2,53333;2,48889;2,48889;1,227932;198899993
09/05/2000;2,48889;2,51111;2,31111;2,4;1,184077;243359991
10/05/2000;2,37778;2,37778;2,28889;2,31111;1,140222;405989985
11/05/2000;2,28889;2,33333;2,28889;2,33333;1,151184;1092779960
12/05/2000;2,44444;2,44444;2,24444;2,26667;1,118297;420029985
15/05/2000;2,28889;2,28889;2,26667;2,26667;1,118297;3808349860
16/05/2000;2,28889;2,33333;2,26667;2,28889;1,129259;2303729915
17/05/2000;2,28889;2,28889;2,22222;2,24444;1,107329;170819994
18/05/2000;2,22222;2,22222;2,08889;2,11111;1,041548;1510469945
19/05/2000;2,08889;2,08889;2,02222;2,04444;1,008656;363869987
22/05/2000;2,06667;2,06667;1,95556;2;0,98673;1219139955
23/05/2000;2;2,02222;1,88889;1,91111;0,942875;1030769962
24/05/2000;1,95556;1,95556;1,84444;1,88889;0,931913;1700009938
25/05/2000;1,88889;1,97778;1,88889;1,93333;0,953838;3352049877
26/05/2000;1,95556;2,04444;1,95556;2,04444;1,008656;630629977
29/05/2000;2,11111;2,11111;2,06667;2,08889;1,030586;1043639962
30/05/2000;2,11111;2,22222;2,08889;2,22222;1,096366;3038489889
31/05/2000;2,2;2,33333;2,2;2,33333;1,151184;2719079900
01/06/2000;2,28889;2,44444;2,28889;2,42222;1,195039;1861469932
02/06/2000;2,48889;2,51111;2,33333;2,4;1,184077;2189069920
05/06/2000;2,44444;2,44444;2,4;2,42222;1,195039;1319759952
06/06/2000;2,42222;2,42222;2,42222;2,42222;1,195039;0
07/06/2000;2,44444;2,46667;2,42222;2,46667;1,216969;1031939962
08/06/2000;2,48889;2,51111;2,4;2,46667;1,216969;1537379944
09/06/2000;2,44444;2,46667;2,4;2,44444;1,206002;1205099956
12/06/2000;2,4;2,42222;2,35556;2,37778;1,173115;405989985
13/06/2000;2,37778;2,37778;2,33333;2,35556;1,162152;537029980
14/06/2000;2,35556;2,37778;2,28889;2,33333;1,151184;694979975
15/06/2000;2,31111;2,33333;2,2;2,2;1,085404;1491749945
16/06/2000;2,22222;2,22222;2,08889;2,17778;1,074441;1155959958
19/06/2000;2,17778;2,17778;2,08889;2,13333;1,052511;2619629904
20/06/2000;2,17778;2,22222;2,15556;2,17778;1,074441;1974959928
21/06/2000;2,22222;2,35556;2,2;2,35556;1,162152;4272839843
22/06/2000;2,35556;2,35556;2,35556;2,35556;1,162152;0
23/06/2000;2,37778;2,4;2,31111;2,33333;1,151184;1575989942
26/06/2000;2,35556;2,35556;2,28889;2,28889;1,129259;1103309960
27/06/2000;2,28889;2,37778;2,28889;2,35556;1,162152;1247219954
28/06/2000;2,4;2,51111;2,4;2,48889;1,227932;1935179929
29/06/2000;2,4;2,48889;2,4;2,46667;1,216969;2536559907
30/06/2000;2,46667;2,48889;2,44444;2,44444;1,206002;1464839946
03/07/2000;2,44444;2,46667;2,42222;2,44444;1,206002;1029599962
04/07/2000;2,44444;2,55556;2,44444;2,55556;1,260825;2628989904
05/07/2000;2,55556;2,71111;2,55556;2,6;1,28275;4346549841
06/07/2000;2,62222;2,68889;2,62222;2,66667;1,315643;2951909892
07/07/2000;2,68889;2,71111;2,68889;2,71111;1,337568;1805309934
10/07/2000;2,73333;2,75556;2,71111;2,73333;1,34853;3865679858
11/07/2000;2,71111;2,71111;2,55556;2,62222;1,293712;1655549939
12/07/2000;2,62222;2,66667;2,57778;2,57778;1,271786;2123549922
13/07/2000;2,57778;2,62222;2,55556;2,57778;1,271786;1320929952
14/07/2000;2,55556;2,6;2,55556;2,57778;1,271786;1285829953
17/07/2000;2,62222;2,64444;2,6;2,6;1,28275;2127059922
18/07/2000;2,64444;2,66667;2,62222;2,64444;1,304675;2176199920
19/07/2000;2,64444;2,64444;2,57778;2,62222;1,293712;303029989
20/07/2000;2,66667;2,66667;2,55556;2,55556;1,260825;885689968
21/07/2000;2,55556;2,6;2,44444;2,6;1,28275;2297879916
24/07/2000;2,62222;2,64444;2,55556;2,6;1,28275;885689968
25/07/2000;2,62222;2,64444;2,55556;2,55556;1,260825;962909965
26/07/2000;2,55556;2,57778;2,51111;2,57778;1,271786;855269969
