Date;Open;High;Low;Close;Adj Close;Volume
01/01/2000;1,01835;1,1436;0,89854;0,92577;0,541857;158004798
01/02/2000;0,92577;1,03469;0,88221;0,88221;0,516361;169307346
01/03/2000;0,89854;0,99058;0,80597;0,92577;0,541857;177521009
01/04/2000;0,93666;0,97478;0,73517;0,84409;0,494049;173854422
01/05/2000;0,93054;0,93054;0,75695;0,81141;0,474922;148279818
01/06/2000;0,81141;1,04461;0,80052;0,94211;0,551421;123212422
01/07/2000;0,96389;1,03469;0,94756;0,97478;0,570543;160973698
01/08/2000;0,97478;1,0837;0,953;1,05102;0,615166;214844162
01/09/2000;1,06192;1,16468;0,95845;1,01835;0,596044;126436843
01/10/2000;1,02924;1,12266;0,81686;0,87676;0,513171;134696359
01/11/2000;0,87676;0,99658;0,84953;0,87132;0,509987;103520070
01/12/2000;0,87132;1,15868;0,86042;1,15868;0,67818;108178849
01/01/2001;1,00746;1,15994;1,00746;1,11637;0,653416;128750273
01/02/2001;1,10548;1,1436;1,00201;1,00201;0,58648;95146835
01/03/2001;1,0238;1,07825;0,87132;0,94756;0,554611;140522864
01/04/2001;0,92577;1,05102;0,89854;1,02924;0,602418;134362262
01/05/2001;1,02924;1,12726;0,99112;1,11637;0,653416;131815729
01/06/2001;1,10548;1,15994;1,05647;1,11637;0,653416;115501317
01/07/2001;1,12182;1,15449;1,0238;1,12182;0,656606;109067417
01/08/2001;1,12726;1,1436;1,03469;1,05647;0,618356;94837377
01/09/2001;1,04558;1,06192;0,87676;0,97478;0,570543;121938448
01/10/2001;0,98023;1,07281;0,92033;1,03469;0,605608;116148303
01/11/2001;1,03469;1,23618;1,01835;1,15994;0,678918;189732528
01/12/2001;1,13816;1,21984;1,11637;1,18172;0,691666;129156485
01/01/2002;1,18172;1,24162;1,14905;1,16538;0,682102;117337641
01/02/2002;1,15994;1,3342;1,12182;1,31242;0,768165;131384271
01/03/2002;1,29064;1,32331;1,20895;1,29608;0,758601;110962321
01/04/2002;1,29608;1,37232;1,24162;1,26341;0,739479;133690634
01/05/2002;1,26341;1,26885;1,11637;1,13816;0,666169;149153645
01/06/2002;1,1436;1,1436;0,91488;1,04013;0,608792;138675834
01/07/2002;1,02924;1,06192;0,78418;0,84953;0,497233;171089937
01/08/2002;0,87132;1,0238;0,80052;0,96389;0,564169;182218772
01/09/2002;0,97478;0,97478;0,7624;0,78418;0,458984;97177069
01/10/2002;0,80052;1,02924;0,77329;1,01835;0,596044;180387293
01/11/2002;0,98023;1,01835;0,92033;0,96389;0,564169;105846430
01/12/2002;0,99112;1,04558;0,94211;1,0238;0,599234;91971292
01/01/2003;1,03469;1,0837;0,953;1,00746;0,58967;117574377
01/02/2003;1,01835;1,04558;0,96389;0,99112;0,580107;94485303
01/03/2003;0,98568;1,17083;0,98568;1,12726;0,65979;129459474
01/04/2003;1,13816;1,27974;1,11093;1,19806;0,701229;123199494
01/05/2003;1,19806;1,38866;1,18172;1,35054;0,790476;143116056
01/06/2003;1,33965;1,36688;1,22529;1,22529;0,717167;127230274
01/07/2003;1,22529;1,38866;1,20895;1,36143;0,79685;95819470
01/08/2003;1,33965;1,5847;1,29064;1,54114;0,902035;209214199
01/09/2003;1,54114;1,62827;1,38866;1,39955;0,819162;146792138
01/10/2003;1,39955;1,5956;1,39955;1,56837;0,917973;100820223
01/11/2003;1,56837;1,67728;1,51391;1,66639;0,975345;96448681
01/12/2003;1,66094;1,90056;1,63372;1,85699;1,086904;76586655
01/01/2004;1,85154;2,05304;1,75352;1,79709;1,051844;135435252
01/02/2004;1,79164;2,00402;1,74808;1,906;1,11559;107899696
01/03/2004;1,88966;1,99858;1,69362;1,82432;1,067782;80853772
01/04/2004;1,82432;1,94957;1,54114;1,55203;0,908409;84855463
01/05/2004;1,5847;1,82976;1,48668;1,7862;1,04547;120972110
01/06/2004;1,79709;1,98769;1,74808;1,96046;1,147465;77743674
01/07/2004;1,96046;2,04214;1,80798;1,87877;1,099651;99948421
01/08/2004;1,86788;2,08026;1,82432;1,95501;1,144275;117646487
01/09/2004;1,98224;2,1565;1,91145;2,08026;1,217585;102655335
01/10/2004;2,08571;2,30354;2,08026;2,24364;1,313212;112583521
01/11/2004;2,24364;2,31443;2,15106;2,31443;1,354645;90575718
01/12/2004;2,31443;2,57038;2,2872;2,50503;1,466204;128444054
01/01/2005;2,50503;2,55949;2,2872;2,45602;1,437518;125606449
01/02/2005;2,46146;2,89168;2,44513;2,76098;1,616013;123756188
01/03/2005;2,77732;3,04416;2,61395;2,67929;1,5682;171183665
01/04/2005;2,7392;2,83722;2,51592;2,67929;1,5682;152695598
01/05/2005;2,69014;2,83201;2,58646;2,68468;1,571354;121269381
01/06/2005;2,70105;2,88658;2,65194;2,77199;1,622457;177661239
01/07/2005;2,77745;2,87567;2,581;2,81564;1,648005;111930606
01/08/2005;2,81564;3,22489;2,81564;3,20852;1,877959;188268607
