Date;Open;High;Low;Close;Adj Close;Volume
03/01/2000;5,875;5,875;5,875;5,875;4,050402;35389440000
04/01/2000;5,55;5,55;5,55;5,55;3,826338;28861440000
05/01/2000;5,494;5,494;5,494;5,494;3,78773;43033600000
06/01/2000;5,475;5,475;5,475;5,475;3,774631;34055680000
07/01/2000;5,5;5,5;5,5;5,5;3,791866;20912640000
10/01/2000;5,613;5,613;5,613;5,613;3,869772;19563520000
11/01/2000;5,475;5,475;5,475;5,475;3,774631;23987200000
12/01/2000;5,483;5,483;5,483;5,483;3,780146;23301120000
13/01/2000;5,325;5,325;5,325;5,325;3,671216;26383360000
14/01/2000;5,4;5,4;5,4;5,4;3,722924;16657920000
17/01/2000;5,338;5,338;5,338;5,338;3,680179;16573440000
18/01/2000;5,363;5,363;5,363;5,363;3,697414;17925120000
19/01/2000;5,325;5,325;5,325;5,325;3,671216;38883840000
20/01/2000;5,313;5,313;5,313;5,313;3,662944;26268160000
21/01/2000;5,2;5,2;5,2;5,2;3,585038;17512960000
24/01/2000;5,163;5,163;5,163;5,163;3,559529;18385920000
25/01/2000;5,163;5,163;5,163;5,163;3,559529;0
26/01/2000;5,225;5,225;5,225;5,225;3,602273;25917440000
27/01/2000;5,188;5,188;5,188;5,188;3,576764;38379520000
28/01/2000;5,188;5,188;5,188;5,188;3,576764;17894400000
31/01/2000;5,101;5,101;5,101;5,101;3,516784;32266240000
01/02/2000;5,2;5,2;5,2;5,2;3,585038;23672320000
02/02/2000;5,3;5,3;5,3;5,3;3,65398;14272000000
03/02/2000;5,45;5,45;5,45;5,45;3,757395;25950720000
04/02/2000;5,588;5,588;5,588;5,588;3,852537;21199360000
07/02/2000;5,625;5,625;5,625;5,625;3,878045;20613120000
08/02/2000;5,75;5,75;5,75;5,75;3,964224;31498240000
09/02/2000;5,625;5,625;5,625;5,625;3,878045;15600640000
10/02/2000;5,463;5,463;5,463;5,463;3,766356;18600960000
11/02/2000;5,288;5,288;5,288;5,288;3,645707;25297920000
14/02/2000;5,213;5,213;5,213;5,213;3,593999;10119680000
15/02/2000;5,313;5,313;5,313;5,313;3,662944;33546240000
16/02/2000;5,738;5,738;5,738;5,738;3,955951;73564160000
17/02/2000;5,688;5,688;5,688;5,688;3,921479;21411840000
18/02/2000;5,563;5,563;5,563;5,563;3,8353;22484480000
21/02/2000;5,55;5,55;5,55;5,55;3,826338;18700800000
22/02/2000;5,525;5,525;5,525;5,525;3,809101;22474240000
23/02/2000;5,563;5,563;5,563;5,563;3,8353;20334080000
24/02/2000;5,713;5,713;5,713;5,713;3,938715;32931840000
25/02/2000;5,863;5,863;5,863;5,863;4,042129;36958720000
28/02/2000;5,75;5,75;5,75;5,75;3,964224;11596800000
29/02/2000;5,775;5,775;5,775;5,775;3,98146;24322560000
01/03/2000;5,875;5,875;5,875;5,875;4,050402;23828480000
02/03/2000;5,838;5,838;5,838;5,838;4,024895;24053760000
03/03/2000;6,038;6,038;6,038;6,038;4,16278;13217280000
06/03/2000;6,038;6,038;6,038;6,038;4,16278;0
07/03/2000;6,038;6,038;6,038;6,038;4,16278;0
08/03/2000;6,181;6,181;6,181;6,181;4,261369;8337920000
09/03/2000;6,399;6,399;6,399;6,399;4,411664;21578240000
10/03/2000;6,213;6,213;6,213;6,213;4,283429;14763520000
13/03/2000;6,213;6,213;6,213;6,213;4,283429;0
14/03/2000;5,813;5,813;5,813;5,813;4,007658;28421120000
15/03/2000;5,888;5,888;5,888;5,888;4,059365;25216000000
16/03/2000;5,925;5,925;5,925;5,925;4,084874;23298560000
17/03/2000;5,863;5,863;5,863;5,863;4,042129;18447360000
20/03/2000;5,688;5,688;5,688;5,688;3,921479;16012800000
21/03/2000;5,8;5,8;5,8;5,8;3,998696;25492480000
22/03/2000;5,814;5,814;5,814;5,814;4,008348;25113600000
23/03/2000;5,813;5,813;5,813;5,813;4,007658;26447360000
24/03/2000;5,813;5,813;5,813;5,813;4,007658;15249920000
27/03/2000;6,25;6,25;6,25;6,25;4,308938;22727680000
28/03/2000;5,988;5,988;5,988;5,988;4,128308;16906240000
29/03/2000;5,963;5,963;5,963;5,963;4,111072;21788160000
30/03/2000;5,825;5,825;5,825;5,825;4,015931;16432640000
31/03/2000;5,9;5,9;5,9;5,9;4,067639;20659200000
03/04/2000;5,85;5,85;5,85;5,85;4,033167;18083840000
04/04/2000;5,819;5,819;5,819;5,819;4,011794;33208320000
05/04/2000;6,063;6,063;6,063;6,063;4,180016;40258560000
06/04/2000;6,15;6,15;6,15;6,15;4,239995;24975360000
07/04/2000;6,188;6,188;6,188;6,188;4,266194;19161600000
10/04/2000;6,05;6,05;6,05;6,05;4,171054;13194240000
11/04/2000;5,9;5,9;5,9;5,9;4,067639;21875200000
12/04/2000;6,037;6,037;6,037;6,037;4,162091;45626880000
13/04/2000;5,9;5,9;5,9;5,9;4,067639;40263680000
14/04/2000;5,9;5,9;5,9;5,9;4,067639;0
17/04/2000;5,25;5,25;5,25;5,25;3,619508;66396160000
18/04/2000;5,413;5,413;5,413;5,413;3,731886;50900480000
19/04/2000;5,088;5,088;5,088;5,088;3,507821;38799360000
20/04/2000;5,1;5,1;5,1;5,1;3,516094;17896960000
21/04/2000;5,1;5,1;5,1;5,1;3,516094;0
24/04/2000;5;5;5;5;3,447151;20638720000
25/04/2000;5,45;5,45;5,45;5,45;3,757395;38284800000
26/04/2000;5,369;5,369;5,369;5,369;3,701551;22627840000
27/04/2000;5,375;5,375;5,375;5,375;3,705688;43991040000
28/04/2000;5,376;5,376;5,376;5,376;3,706378;25940480000
01/05/2000;5,376;5,376;5,376;5,376;3,706378;0
02/05/2000;5,506;5,506;5,506;5,506;3,796004;19975680000
03/05/2000;5,488;5,488;5,488;5,488;3,783594;20416000000
04/05/2000;5,475;5,475;5,475;5,475;3,774631;21488640000
05/05/2000;5,488;5,488;5,488;5,488;3,783594;17635840000
08/05/2000;5,494;5,494;5,494;5,494;3,78773;17551360000
09/05/2000;5,499;5,499;5,499;5,499;3,791178;26621440000
10/05/2000;5,4;5,4;5,4;5,4;3,722924;26841600000
11/05/2000;5,312;5,312;5,312;5,312;3,662253;36037120000
12/05/2000;5,306;5,306;5,306;5,306;3,658117;26560000000
15/05/2000;5,4;5,4;5,4;5,4;3,722924;13186560000
16/05/2000;5,575;5,575;5,575;5,575;3,843574;27993600000
17/05/2000;5,513;5,513;5,513;5,513;3,800829;12966400000
18/05/2000;5,538;5,538;5,538;5,538;3,818065;23644160000
19/05/2000;5,413;5,413;5,413;5,413;3,731886;23654400000
22/05/2000;5,256;5,256;5,256;5,256;3,623646;20034560000
23/05/2000;5,325;5,325;5,325;5,325;3,671216;24501760000
24/05/2000;5,238;5,238;5,238;5,238;3,611236;38970880000
25/05/2000;5,313;5,313;5,313;5,313;3,662944;38474240000
26/05/2000;5,251;5,251;5,251;5,251;3,620199;26065920000
29/05/2000;5,3;5,3;5,3;5,3;3,65398;11112960000
30/05/2000;5,316;5,316;5,316;5,316;3,665012;23626240000
31/05/2000;5,238;5,238;5,238;5,238;3,611236;26045440000
01/06/2000;5,5;5,5;5,5;5,5;3,791866;27148800000
02/06/2000;5,813;5,813;5,813;5,813;4,007658;51576320000
05/06/2000;5,79;5,79;5,79;5,79;3,991801;22650880000
06/06/2000;5,79;5,79;5,79;5,79;3,991801;0
07/06/2000;6,244;6,244;6,244;6,244;4,304803;23697920000
08/06/2000;6,276;6,276;6,276;6,276;4,326864;28997120000
09/06/2000;6,275;6,275;6,275;6,275;4,326174;10813440000
12/06/2000;6,238;6,238;6,238;6,238;4,300666;6832640000
13/06/2000;6,232;6,232;6,232;6,232;4,296529;21562880000
14/06/2000;6,163;6,163;6,163;6,163;4,248958;27604480000
15/06/2000;6,168;6,168;6,168;6,168;4,252406;21391360000
16/06/2000;6,288;6,288;6,288;6,288;4,335138;36892160000
19/06/2000;6,325;6,325;6,325;6,325;4,360645;68078080000
20/06/2000;6,363;6,363;6,363;6,363;4,386845;17233920000
21/06/2000;6,438;6,438;6,438;6,438;4,438552;38213120000
22/06/2000;6,438;6,438;6,438;6,438;4,438552;0
23/06/2000;6,43875;6,43875;6,43875;6,43875;4,439069;28073600
26/06/2000;6,5625;6,5625;6,5625;6,5625;4,524386;23228800
27/06/2000;6,625;6,625;6,625;6,625;4,567476;28342400
28/06/2000;6,8625;6,8625;6,8625;6,8625;4,731215;25206400
29/06/2000;6,65;6,65;6,65;6,65;4,584712;15392000
30/06/2000;6,8125;6,8125;6,8125;6,8125;4,696743;15942400
03/07/2000;7;7;7;7;4,826013;22694400
