Date;Open;High;Low;Close;Adj Close;Volume
01/01/2000;3,5;4,16667;3,33333;3,33333;2,15813;29884800
01/02/2000;3,91667;4,36667;3,4;3,4;2,201295;19968000
01/03/2000;3,4;3,41667;2,75;3,33333;2,15813;32337600
01/04/2000;3,31667;3,425;2,91667;3,33333;2,15813;34152000
01/05/2000;3,33333;3,54167;3,16667;3,485;2,256327;37286400
01/06/2000;3,41667;3,83333;3,33333;3,74917;2,427362;32232000
01/07/2000;3,74917;4,04083;3,55833;3,70833;2,40092;36153600
01/08/2000;3,75;4,04167;3,70417;3,85;2,492643;22094400
01/09/2000;3,875;4,08333;3,43417;3,50417;2,268739;12811200
01/10/2000;3,46667;3,75;3,25;3,66667;2,373949;26323200
01/11/2000;3,66667;3,66667;3,08333;3,08333;1,99627;11784000
01/12/2000;3,08333;3,875;3,08333;3,875;2,508829;17510400
01/01/2001;3,6;4,25;3,5;4,25;2,751619;14409600
01/02/2001;4,20417;4,20833;3,91667;4,08333;2,64371;25368000
01/03/2001;4,08333;4,25;3,91667;4,125;2,670689;39230400
01/04/2001;4,08333;4,08333;3,875;4,04167;2,616738;22161600
01/05/2001;4,04167;4,33417;4,00083;4,3125;2,792084;40243200
01/06/2001;4,29167;4,5;4,16667;4,41667;2,859528;22670400
01/07/2001;4,5;4,58333;4,16667;4,4;2,848735;209294400
01/08/2001;4,49917;4,49917;4,23333;4,275;2,767805;27196800
01/09/2001;4,21667;4,375;3,86667;4,20833;2,724641;65428800
01/10/2001;4,21667;4,5;4,21667;4,41583;2,858984;34128000
01/11/2001;4,415;4,46667;3,91667;4,125;2,670689;36628800
01/12/2001;4,125;4,45;3,9875;4,33333;2,80557;39940800
01/01/2002;4,33333;4,61667;4,16667;4,26667;2,762413;21859200
01/02/2002;4,33417;5,16667;4,33417;5,14167;3,328921;91555200
01/03/2002;5,23333;5,5;4,91583;5,29167;3,426038;326304000
01/04/2002;5,18333;5,55833;5,06667;5,36667;3,474596;232310400
01/05/2002;5,36667;6,33333;5,36667;6,3325;4,099913;212217600
01/06/2002;6,40833;6,625;5,91583;6,475;4,192173;159182400
01/07/2002;6,4475;7,41917;5,95833;6,91667;4,478128;123710400
01/08/2002;6,86667;6,91667;6,08333;6,25;4,046498;129062400
01/09/2002;6,28417;7,58333;6,24583;7,21667;4,672359;123964800
01/10/2002;7,20833;8,20833;6,91667;8;5,179519;195475200
01/11/2002;7,87083;8,35;7,41667;8,33333;5,395329;147470400
01/12/2002;8,2;9,30083;8,1825;8,575;5,551795;103161600
01/01/2003;8,575;8,5825;7,58417;8,06667;5,222683;77630400
01/02/2003;8,07917;8,78333;8,06;8,66667;5,611147;84192000
01/03/2003;8,66667;8,74917;7,50333;7,58333;4,90975;76521600
01/04/2003;7,58333;7,7;6,66667;6,8325;4,423632;80774400
01/05/2003;6,8325;7,49333;6,75;7,33333;4,74789;92582400
01/06/2003;7,2925;7,49583;6,93;7;4,532077;91464000
01/07/2003;7;8,61583;7;8,575;5,551795;140611200
01/08/2003;8,57583;9,91667;8,18333;9,23333;5,978024;215524800
01/09/2003;9,23333;10,2083;9,23333;9,75083;6,313075;110145600
01/10/2003;9,75;11,2917;9,75;10,8333;7,01391;106070400
01/11/2003;10,9167;11,1667;10,125;10,75;6,95998;83505600
01/12/2003;10,7092;14,375;10,7092;14,125;9,145087;91310400
01/01/2004;14,125;15,4167;12,875;13;8,416718;84681600
01/02/2004;12,9;14,875;12,8833;14,0417;9,091156;93859200
01/03/2004;14,125;14,6583;12,0833;13,2925;8,606092;91022400
01/04/2004;13,3333;13,7442;10,8592;10,8592;7,030678;80500800
01/05/2004;10,9167;13,6917;10,6008;13,0925;8,476604;93115200
01/06/2004;13,125;13,4917;11,25;12,125;7,850208;83937600
01/07/2004;12,1792;13,9583;11,6925;13,6583;8,842925;123086400
01/08/2004;13,5458;14,75;12,9392;14;9,064155;69001600
01/09/2004;13,975;16,275;13,7675;16,049999;10,391409;69081600
01/10/2004;16;16,875;14,25;15,25;9,873456;64912000
01/11/2004;15,125;17,0525;15,075;16,65;10,779874;97432000
01/12/2004;16,68;19,5;16,125;18,875;12,220425;91230400
01/01/2005;19,125;20,764999;17,25;19,799999;12,819308;94854400
01/02/2005;20;24,125;18,825001;22,625;14,648323;117915200
01/03/2005;22,5525;24,25;20,002501;21,25;13,758093;150172800
01/04/2005;21,5;21,75;16,674999;17,125;11,087404;170723200
01/05/2005;17,299999;17,959999;15,5475;17,487499;11,322101;113456000
01/06/2005;17,475;18,575001;16,549999;17,325001;11,216893;116574400
01/07/2005;17,4625;19,9175;17,25;19,622499;12,704386;128931200
01/08/2005;19,375;21,172501;19,305;20,275;13,126842;152694400
01/09/2005;20,272499;25,1;20,25;24,75;16,024134;176976000
01/10/2005;24,625;24,674999;20,772499;23,2925;15,080496;178689600
01/11/2005;23,299999;25,035;21,9375;23,924999;15,489997;127779200
01/12/2005;24,025;25,225;22,799999;23,875;15,457622;90385600
01/01/2006;23,950001;28,297501;23,375;28,297501;18,320925;122664000
01/02/2006;28,200001;28,25;24,375;26,112499;16,906269;138851200
01/03/2006;25,25;26,799999;22,625;26,4;17,092407;191667200
01/04/2006;26,4025;28,137501;25,127501;26,754999;17,322254;164873600
01/05/2006;27,924999;30,0625;25,15;26,35;17,06004;2985479416
01/06/2006;26,450001;27,235001;22,594999;26,139999;16,924072;2253333452
01/07/2006;26,045;26,815001;23,4;25,275;16,364037;1289457032
01/08/2006;25,325001;26,5;22;23;14,891112;2079023652
01/09/2006;23,105;24,360001;21,360001;23,424999;15,166275;356735046
01/10/2006;23,575001;27,790001;22,535;27,075001;17,529432;41328400
01/11/2006;27,379999;30,25;27,379999;29,860001;19,33255;34770800
01/12/2006;29,860001;32,599998;29,254999;31,85;20,620956;31278200
01/01/2007;31,85;35,799999;29,004999;35,549999;23,016487;46595000
01/02/2007;35,900002;39,505001;34,369999;36,255001;23,472933;37199400
01/03/2007;35,439999;38,674999;33,424999;38,150002;24,699831;53786800
01/04/2007;38,150002;43,299999;37,799999;42;27,192476;43895200
01/05/2007;42;45,209999;41,150002;43,509998;28,170103;50006000
01/06/2007;44,174999;45,450001;41,845001;43,09;27,898182;46485600
01/07/2007;43,084999;49,599998;43,084999;46,400002;30,041204;49674600
01/08/2007;46,185001;49;36,25;48,490002;31,39435;75386000
01/09/2007;48,599998;64;47,860001;61,950001;40,108891;49944700
01/10/2007;62,799999;66,800003;57,540001;65;42,08358;89304500
01/11/2007;63,950001;66,5;55,799999;62,700001;40,594471;61727500
01/12/2007;62,709999;65,239998;55,450001;59,310001;38,399639;36556500
01/01/2008;59,310001;59,310001;43,849998;51,830002;33,556808;82524400
01/02/2008;53,610001;62,650002;51,41;58,66;37,978817;55013200
01/03/2008;58,849998;60,93;51,900002;60,5;39,170109;51315700
01/04/2008;60,5;66,099998;58,93;65,639999;42,497955;50484800
01/05/2008;65,639999;72,650002;64,449997;65,510002;42,718479;39235300
01/06/2008;65;73,800003;55,27;57,400002;37,430016;53507200
01/07/2008;55,990002;56,32;41,34;47,34;30,869984;90220000
01/08/2008;46,799999;46,799999;39,25;43,470001;28,346388;62102200
